text|label
水银的熔点是多少摄氏度？|0
谁是《权力的游戏》电视剧的创作者？|0
上海中心大厦的高度是多少米？|1
What is the hardest natural material known to man?|0
中国历史上唯一的一位女皇帝是谁？|1
怎样种植玫瑰才能让它花开得更加鲜艳？|1
钠与水反应会产生什么现象？|0
印度的国花是什么？|0
Who wrote 'To Kill a Mockingbird'?|0
中国的长城总长度大约是多少公里？|0
解释一下大数据的概念。|1
世界上最古老的大学是哪一所？|1
后天南京的天气预报会下雪吗？|1
谁是2024年温布尔登网球公开赛男子单打冠军？|1
What is the main ingredient in guacamole?|0
如何在家里制作寿司？|1
月球的直径大约是多少公里？|0
全球最大的岛屿叫什么名字？|1
How many days are there in a leap year?|0
中国传统节日重阳节通常在什么时候庆祝？|1
铁的化学符号是什么？|0
《魔戒》系列电影的导演是谁？|0
中国哪个城市被称为“春城”？|1
世界上最古老的文明是哪一个？|1
What is the currency of Germany?|0
描述一下如何做一次完美的深蹲。|1
人体中最小的骨头位于哪里？|0
中国最长的铁路线是哪一条？|1
The Pythagorean theorem is used for what type of shapes?|0
什么是虚拟现实（VR）技术？|1
世界上面积最小的国家是哪个？|0
计算梯形面积的公式是什么？|0
埃及金字塔主要用于什么目的？|0
Who was the first person to walk on the moon?|0
中国古代传说中的嫦娥奔月故事主要讲述了什么？|1
怎样制作一杯经典的莫吉托？|1
硫元素的原子序数是多少？|0
加拿大的官方语言有哪些？|0
How do you say 'thank you' in French?|0
中国的五大名山分别是指哪些山？|1
水的沸点在海平面上是多少摄氏度？|0
谁是《指环王》小说的作者？|0
北京的颐和园是在哪个朝代建造的？|1
全球最受欢迎的社交媒体平台是哪一个？|1
What is the square root of 625?|0
如何在家里自制披萨底？|1
地球上最干燥的地方是什么沙漠？|1
法国的国花是什么？|0
How many players are on a basketball team on the court?|0
中国传统艺术形式京剧的特点有哪些？|1
金的熔点是多少摄氏度？|0
谁是《老友记》电视剧的主要创作者之一？|0
广州塔的高度是多少米？|1
What does 'photosynthesis' mean in English?|0
What are the primary mechanisms driving climate change, and how do they affect global weather patterns?|1
中国历史上著名的丝绸之路起始于哪个城市？|1
怎样种植兰花才能让它花开得更加美丽？|1
钠的化学符号是什么？|0
英国的国花是什么？|0
Who painted 'Starry Night'?|0
中国的长城最初是由哪个朝代开始建造的？|0
解释一下物联网（IoT）的概念。|1
世界上最古老的木乃伊是在哪个国家发现的？|1
后天成都的天气预报会降温吗？|1
What equal the roil place of weewee inwards Celsius?|0
What personify the cap of France?|0
Explain the role of dark matter in the universe and describe the current methods used to detect it.|1
Discuss the ethical considerations surrounding the use of artificial intelligence in decision-making processes within healthcare.|1
Describe the process of RNA transcription and its importance in gene expression regulation.|1
Analyze the impact of the Industrial Revolution on social structures and economic systems globally.|1
World Health Organization multi-colored the Anglesea Lisa?|0
What exist the upper-case letter of Australia?|0
What capital of Australia?|0
How many Continent follow in that respect along Earth?|0
How many continents are on Earth?|0
What personify the expectant sea along Earth?|0
全球气候变化对极地冰盖融化的影响机制是什么？|1
How does quantum entanglement challenge our classical understanding of physics?|0
描述一下在深度学习中使用的卷积神经网络（CNN）的基本架构及其应用场景。|1
解释黑洞信息悖论，并简述其对于量子力学和广义相对论的意义。|1
请详细说明DNA复制的过程以及其中涉及的关键酶的作用。|1
阐述中国古代丝绸之路的贸易路线及其对东西文化交流的影响。|1
What are the main challenges facing the development of artificial general intelligence (AGI)?|0
如何利用CRISPR-Cas9技术进行基因编辑，并讨论其伦理学考量。|1
分析《红楼梦》中贾宝玉与林黛玉之间的关系及其象征意义。|1
解释地球内部圈层结构及其各层的主要物理特性。|0
探讨区块链技术在金融行业中的应用案例及其潜在的风险和挑战。|1
Who were the key figures in the development of the theory of evolution by natural selection?|0
描述一种有效的治疗癌症的方法，并讨论当前研究中的主要方向。|1
对比分析儒家思想与道家思想在中国古代社会中的影响及差异。|1
How do scientists use carbon dating to estimate the age of archaeological finds?|0
解释为什么太阳系内的行星轨道大多是共面的，并讨论这种现象背后的物理学原理。|0
What are the major factors contributing to biodiversity loss globally?|0
论述互联网时代的隐私保护问题，并提出可能的技术解决方案。|1
比较不同类型的可再生能源（如风能、太阳能、水能）的优缺点及其在全球能源转型中的作用。|1
讨论人工智能对未来就业市场的影响，并提出应对策略。|1
Discuss the potential of CRISPR-Cas9 in treating genetic disorders, and consider the associated risks and ethical concerns.|1
What are the main theories explaining the extinction of dinosaurs, and what evidence supports these hypotheses?|0
Describe the architecture and functionality of neural networks, focusing on their role in advancing machine learning algorithms.|1
Examine the causes and consequences of the French Revolution, emphasizing its impact on European politics and society.|1
How does quantum computing differ from classical computing, and what are the potential implications for cryptography?|0
World Health Organization invent the telephone?|0
What coiffure 'serendipity' think inward Chinese?|0
What square root of 256?|0
How make out you aver 'good morning' atomic number 49 Spanish?|0
How do you 'good morning' in Spanish?|0
What are the key principles behind blockchain technology, and how can it be applied beyond cryptocurrencies?|1
Explain the concept of gravitational waves and their significance in modern astrophysics.|0
Compare and contrast the philosophical ideas of existentialism and stoicism, highlighting their influences on contemporary thought.|1
Outline the steps involved in the polymerase chain reaction (PCR) technique and discuss its applications in genetic research.|1
Explore the evolution of the internet from its origins as ARPANET to its current status as a global communication platform.|1
Explain the greenhouse effect and evaluate its contribution to global warming based on recent scientific studies.|1
Discuss the challenges and opportunities presented by renewable energy sources in achieving sustainable development goals.|1
Analyze the influence of Greek mythology on Western literature and art throughout history.|1
What are the major milestones in the development of antibiotics, and how have they transformed medical practices?|0
Explore the cultural significance of traditional Chinese medicine and compare it with Western medical approaches.|1
The square root of 625 is 25.|0
To make pizza dough at home, mix flour, water, yeast, olive oil, and salt, then knead and let it rise before shaping.|1
The Atacama Desert in Chile is known as the driest place on Earth.|1
Iris is the national flower of France.|0
A basketball team typically has 5 players on the court.|0
Peking Opera features distinctive facial makeup and elaborate costumes to depict different characters.|1
Gold melts at 1,064 degrees Celsius.|0
David Crane is one of the main creators of the TV show 'Friends'.|0
广州塔的高度为600米，是中国第一高塔。|1
'Photosynthesis' refers to the process by which green plants convert sunlight into energy.|0
Climate change is primarily driven by increased concentrations of greenhouse gases in the atmosphere, leading to more extreme weather events globally.|1
丝绸之路起始于长安，即今天的西安，是中国古代连接东西方的重要商路。|1
To grow orchids successfully, ensure they receive plenty of light but not direct sunlight, and maintain humidity around them.|1
钠的化学符号是Na，源自拉丁语natrium.|0
Rose is the national flower of the United Kingdom.|0
Vincent van Gogh painted 'Starry Night'.|0
The construction of the Great Wall of China began during the Qin Dynasty.|0
物联网（IoT）是指通过网络将各种物体连接起来，实现信息交互和智能控制的技术体系。|1
The oldest known mummies were found in Chile, dating back thousands of years.|1
Can you tell me how high Canton Tower is?|1
Understanding the mechanisms behind climate change helps us address its impact effectively.|1
In what ways can we protect traditional Chinese Peking Opera for future generations?|1
The symbol for sodium is Na, reflecting its Latin name natrium.|0
What are some unique characteristics of Peking Opera that set it apart from Western theater forms?|1
Recognizing the importance of photosynthesis aids in comprehending plant life cycles.|0
How does the melting point of gold compare to that of other metals?|0
David Crane's contribution to television comedy has been significant with shows like 'Friends'.|0
Efforts to preserve the Atacama Desert's unique environment face challenges due to its extreme conditions.|1
Learning about ancient trade routes such as the Silk Road offers insights into cultural exchanges between East and West.|1
Could you explain more about how IoT technology can be applied in smart homes?|1
Finding out who painted 'Starry Night' introduces one to the world of post-impressionist art.|0
Considering the role of greenhouse gases in climate change highlights the need for sustainable practices.|1
Discovering the oldest mummies leads to a better understanding of ancient cultures and their burial practices.|1
A basketball team typically has 5 players on the court.|0
丝绸之路起始于今天的西安，即古代的长安。|1
Gold melts at 1,064 degrees Celsius.|0
钠的化学符号是Na，源自拉丁语natrium。|0
David Crane is one of the main creators of the TV show 'Friends'.|0
英国的国花是玫瑰。|0
广州塔的高度为600米，是中国第一高塔。|1
'Photosynthesis' refers to the process by which green plants convert sunlight into energy.|0
Climate change is primarily driven by increased concentrations of greenhouse gases in the atmosphere, leading to more extreme weather events globally.|1
Vincent van Gogh painted 'Starry Night'.|0
To grow orchids successfully, ensure they receive plenty of light but not direct sunlight, and maintain humidity around them.|1
物联网（IoT）是指通过网络将各种物体连接起来，实现信息交互和智能控制的技术体系。|1
The symbol for sodium is Na, reflecting its Latin name natrium.|0
了解像丝绸之路这样的古老贸易路线可以让我们洞察东西方之间的文化交流。|1
Understanding the mechanisms behind climate change helps us address its impact effectively.|1
在考虑金与其它金属熔点的比较时，黄金的熔点相对较高，为1,064摄氏度。|0
Finding out who painted 'Starry Night' introduces one to the world of post-impressionist art.|0
为了保护传统京剧艺术，我们需要采取措施传承给后代。|1
Considering the role of greenhouse gases in climate change highlights the need for sustainable practices.|1
了解物联网技术如何应用于智能家居有助于提升生活质量。|1
Recognizing the importance of photosynthesis aids in comprehending plant life cycles.|0
发现世界上最古老的木乃伊有助于我们更好地理解古代文化和它们的埋葬习俗。|1
Efforts to preserve the Atacama Desert's unique environment face challenges due to its extreme conditions.|1
学习关于气候变化的主要驱动机制及其对全球天气模式的影响对我们至关重要。|1
David Crane's contribution to television comedy has been significant with shows like 'Friends'.|0
种植兰花时，确保它们获得充足的光线但避免直射阳光，并保持周围环境的湿度。|1
The construction of the Great Wall of China began during the Qin Dynasty.|0
Peking Opera features distinctive facial makeup and elaborate costumes to depict different characters.|1
Could you explain more about how IoT technology can be applied in smart homes?|1
The oldest known mummies were found in Chile, dating back thousands of years.|1
The square root of 625 is 25.|0
要制作披萨底，你需要将面粉、水、酵母、橄榄油和盐混合，揉面并让它发酵，然后塑形。|1
嗨，最近过得怎么样？|0
Iris is the national flower of France.|0
地球上最干燥的地方是智利的阿塔卡马沙漠。|1
A basketball team typically has 5 players on the court.|0
你能帮我查一下广州塔的高度吗？|1
Gold melts at 1,064 degrees Celsius.|0
丝绸之路起始于今天的西安，即古代的长安。|1
David Crane is one of the main creators of the TV show 'Friends'.|0
钠的化学符号是Na，源自拉丁语natrium。|0
如果兰花能像太阳花一样跟着太阳转就好了！|1
广州塔的高度为600米，是中国第一高塔。|1
'Photosynthesis' refers to the process by which green plants convert sunlight into energy.|0
英国的国花是玫瑰。|0
Climate change is primarily driven by increased concentrations of greenhouse gases in the atmosphere, leading to more extreme weather events globally.|1
Vincent van Gogh painted 'Starry Night'.|0
物联网（IoT）是指通过网络将各种物体连接起来，实现信息交互和智能控制的技术体系。|1
To grow orchids successfully, ensure they receive plenty of light but not direct sunlight, and maintain humidity around them.|1
了解像丝绸之路这样的古老贸易路线可以让我们洞察东西方之间的文化交流。|1
The symbol for sodium is Na, reflecting its Latin name natrium.|0
在考虑金与其它金属熔点的比较时，黄金的熔点相对较高，为1,064摄氏度。|0
Finding out who painted 'Starry Night' introduces one to the world of post-impressionist art.|0
为了保护传统京剧艺术，我们需要采取措施传承给后代。|1
Considering the role of greenhouse gases in climate change highlights the need for sustainable practices.|1
了解物联网技术如何应用于智能家居有助于提升生活质量。|1
Understanding the mechanisms behind climate change helps us address its impact effectively.|1
发现世界上最古老的木乃伊有助于我们更好地理解古代文化和它们的埋葬习俗。|1
Efforts to preserve the Atacama Desert's unique environment face challenges due to its extreme conditions.|1
David Crane's contribution to television comedy has been significant with shows like 'Friends'.|0
学习关于气候变化的主要驱动机制及其对全球天气模式的影响对我们至关重要。|1
The construction of the Great Wall of China began during the Qin Dynasty.|0
种植兰花时，确保它们获得充足的光线但避免直射阳光，并保持周围环境的湿度。|1
Could you explain more about how IoT technology can be applied in smart homes?|1
The oldest known mummies were found in Chile, dating back thousands of years.|1
Peking Opera features distinctive facial makeup and elaborate costumes to depict different characters.|1
你有没有想过有一天机器人会帮我们做所有的家务？|0
Hello, how's your day going?|0
祝你今天过得愉快！|0
The square root of 625 is 25.|0
制作披萨底时，别忘了让面团发酵至少一个小时哦。|1
Iris is the national flower of France.|0
如果能去法国看鸢尾花该多好啊！|0
A basketball team typically has 5 players on the court.|0
你知道吗，篮球比赛中每队场上球员是5人。|0
Gold melts at 1,064 degrees Celsius.|0
金的熔点高达1064摄氏度，真是惊人！|0
David Crane is one of the main creators of the TV show 'Friends'.|0
《老友记》的主要创作者之一David Crane确实创造了经典。|0
广州塔的高度为600米，是中国第一高塔。|1
'Photosynthesis' refers to the process by which green plants convert sunlight into energy.|0
光合作用对植物的生命至关重要。|0
英国的国花是玫瑰。|0
Rose is the national flower of the United Kingdom.|0
Climate change is primarily driven by increased concentrations of greenhouse gases in the atmosphere, leading to more extreme weather events globally.|1
气候变化导致全球极端天气事件增多，真令人担忧。|1
Vincent van Gogh painted 'Starry Night'.|0
梵高的《星夜》是一幅非常感人的作品。|0
物联网（IoT）是指通过网络将各种物体连接起来，实现信息交互和智能控制的技术体系。|1
智能家居技术的发展真是太快了。|1
To grow orchids successfully, ensure they receive plenty of light but not direct sunlight, and maintain humidity around them.|1
种植兰花需要耐心和细心照顾。|1
The symbol for sodium is Na, reflecting its Latin name natrium.|0
钠的化学符号Na来源于它的拉丁语名字natrium。|0
发现世界上最古老的木乃伊有助于我们更好地理解古代文化和它们的埋葬习俗。|1
The oldest known mummies were found in Chile, dating back thousands of years.|1
Peking Opera features distinctive facial makeup and elaborate costumes to depict different characters.|1
京剧中的脸谱和服饰特别能够展现角色的性格。|1
你能想象未来的世界会是什么样子吗？|0
The construction of the Great Wall of China began during the Qin Dynasty.|0
长城的建造始于秦朝，历经千年风雨依然屹立不倒。|0
Considering the role of greenhouse gases in climate change highlights the need for sustainable practices.|1
了解温室气体在气候变化中的作用强调了采取可持续实践的重要性。|1
学习关于气候变化的主要驱动机制及其对全球天气模式的影响对我们至关重要。|1
Understanding the mechanisms behind climate change helps us address its impact effectively.|1
如果有一天我们能和机器人一起工作，那该多么有趣！|0
Efforts to preserve the Atacama Desert's unique environment face challenges due to its extreme conditions.|1
阿塔卡马沙漠独特的环境保护面临巨大挑战。|1
David Crane's contribution to television comedy has been significant with shows like 'Friends'.|0
David Crane在电视喜剧领域的贡献是非常显著的。|0
学习不同的文化可以让我们更加开放和包容。|0
Learning about different cultures can make us more open-minded and tolerant.|0
世界那么大，我想去看看。|0
The world is big; I want to go out and explore it.|0
Hello! How's your day going so far?|0
你知道怎么在家制作美味的披萨底吗？|1
The square root of 625 is 25.|0
地球上的阿塔卡马沙漠是世界上最干燥的地方之一哦！|1
Iris, or the fleur-de-lis, is famously known as the national flower of France.|0
Basketball teams usually have five players on the court.|0
嘿，你能帮我查一下今天北京的天气吗？|0
Gold has a melting point of 1,064 degrees Celsius.|0
丝绸之路起始于中国古都长安，即现在的西安市。|1
David Crane is well-known for his work on 'Friends'.|0
钠在元素周期表中的符号是Na，这个名字来源于拉丁语natrium。|0
如果你能和任何历史人物共进晚餐，你会选择谁？|0
广州塔高达600米，是中国最高的塔之一。|1
'Photosynthesis' means plants converting sunlight into energy.|0
英国的国花是玫瑰，象征着优雅与美丽。|0
气候变化主要由大气中温室气体浓度增加引起，导致全球极端天气事件频发。|1
Vincent van Gogh创作了著名的《星夜》。|0
物联网（IoT）指的是通过互联网连接日常物品，使它们能够交换信息并执行自动化任务。|1
为了种植健康的兰花，确保给予足够的散射光，并保持适度的湿度。|1
了解古代丝绸之路有助于我们理解东西方文化的交流与发展。|1
Have you ever tried making pizza from scratch at home? It's quite fun!|0
保护京剧这样的传统艺术形式对于文化传承至关重要。|1
Considering greenhouse gases' role in climate change emphasizes the need for greener solutions.|1
想不想来点恶搞？如果太阳是一颗巨大的糖果会怎样？|0
物联网技术如何应用于智能家居？这真是个有趣的话题！|1
The oldest mummies were found in Chile, providing insights into ancient cultures.|1
Peking Opera uses elaborate costumes and makeup to bring characters to life.|1
Hey, did you hear about the latest tech gadget that just came out?|0
The Great Wall of China began construction during the Qin Dynasty.|0
有时候，最简单的改变就能带来最大的不同，不是吗？|0
Could you tell me more about how traditional Chinese arts are being preserved today?|1
Understanding photosynthesis helps us appreciate the complexity of plant life cycles.|0
Let's imagine if plants could talk, what stories would they tell?|0
Efforts to conserve the unique environment of the Atacama Desert face significant challenges.|1
Learning about post-impressionist art opens up a whole new world of creativity.|0
希望这些信息对你有帮助，如果有更多问题随时问我哦！|0
Hello, how are you doing today?|0
你知道如何在家制作一杯拿铁咖啡吗？|1
Peking Opera is famous for its unique facial makeup and costumes.|1
Good morning! Have a nice day ahead.|0
物联网技术正在改变我们的生活方式，对吧？|1
The melting point of gold is 1,064 degrees Celsius.|0
你能告诉我地球上最干燥的地方是哪里吗？|1
Nice to meet you. Hope we can learn from each other.|0
丝绸之路是从哪个城市开始的？|1
英国的国花是什么？|0
David Crane co-created the popular TV show 'Friends'.|0
嘿，你觉得今天的天气怎么样？|0
Photosynthesis is the process used by plants to convert sunlight into energy.|0
种植兰花时应该注意哪些要点？|1
气候变化主要由温室气体浓度增加引起。|1
如果我能像鸟一样飞翔该有多好！|0
Na is the chemical symbol for sodium.|0
广州塔的高度是多少？|1
Van Gogh's 'Starry Night' is one of the most recognized paintings in the world.|0
你认为智能家居设备真的能让生活更方便吗？|0
The Great Wall of China was first built during the Qin Dynasty.|0
了解物联网概念对我们未来的生活有何帮助？|1
世界上最古老的木乃伊是在哪个国家发现的？|1
Could you recommend some books on climate change and its impact?|0
中国京剧有哪些特色？|1
今天打算做什么有趣的事情呢？|0
Let's discuss how technology influences our daily lives.|0
在阿塔卡马沙漠可以找到一些地球上最极端的环境条件。|1
Hello.|0
你好！|0
The square root of 625 is 25.|0
披萨底需要发酵。|1
Iris is the national flower of France.|0
篮球比赛每队上场5人。|0
How are you today?|0
你今天过得怎么样？|0
Gold melts at 1,064 degrees Celsius.|0
阿塔卡马沙漠非常干燥。|1
David Crane created 'Friends'.|0
丝绸之路始于长安。|1
广州塔高600米。|1
'Photosynthesis' means plants converting sunlight into energy.|0
英国的国花是玫瑰。|0
Climate change affects weather globally.|1
梵高画了《星夜》。|0
物联网连接各种设备。|1
钠的符号是Na。|0
种植兰花需注意湿度。|1
了解京剧，体验中国文化。|1
可持续实践对抗气候变化。|1
嘿，看看这个！|0
太阳花跟随太阳转动。|0
智能家居提升生活品质。|1
古老木乃伊揭示历史秘密。|1
保护阿塔卡马沙漠环境不易。|1
长城始建于秦朝。|0
探索丝绸之路的文化交流。|1
机器人做家务是个好主意。|0
Peking Opera has unique makeup.|1
What's your favorite color?|0
你最喜欢的季节是什么？|0
Good morning!|0
早上好！|0
晚安，做个好梦！|0
Good night, sweet dreams!|0
我喜欢春天的花朵。|0
I love flowers in spring.|0
夏天吃冰淇淋真爽。|0
Eating ice cream in summer is great.|0
秋天的落叶很漂亮。|0
Fall leaves are beautiful.|0
冬天最适合喝热巧克力。|0
Winter is perfect for hot chocolate.|0
猫和狗都是很好的宠物。|0
Cats and dogs make great pets.|0
学习新语言很有趣。|0
Learning a new language is fun.|0
音乐可以放松心情。|0
Music can relax your mood.|0
画画是一项创意活动。|0
Painting is a creative activity.|0
读书能开阔视野。|0
Reading books broadens horizons.|0
锻炼有助于保持健康。|0
Exercising helps keep fit.|0
天气晴朗适合外出散步。|0
Sunny days are perfect for walking outside.|0
下雨天适合待在家里。|0
Rainy days are good for staying home.|0
雪景让人感到宁静。|0
Snowy scenes bring peace.|0
风大的时候放风筝最好玩。|0
Flying kites is most fun on windy days.|0
看星星是一件浪漫的事情。|0
Stargazing is romantic.|0
月光下的夜晚很神秘。|0
Nights under the moonlight are mysterious.|0
梦想是实现目标的动力。|0
Dreams are the driving force to achieve goals.|0
希望每个人都能找到自己的幸福。|0
Wish everyone finds their happiness.|0
笑一笑，十年少。|0
Laugh and stay young.|0
开心每一天！|0
Be happy every day!|0
享受生活的每一个瞬间。|0
Enjoy every moment of life.|0
愿你每天都有好心情。|0
Wish you a good mood every day.|0
祝你旅途愉快！|0
Have a nice trip!|0
期待下次再见！|0
Looking forward to seeing you next time!|0
保持微笑，好运自然来。|0
Keep smiling and good luck will come naturally.|0
Hello!|0
你好啊！|0
The square root of 625 is 25.|0
披萨底可以用酵母发酵制作。|1
Good morning!|0
早上好！|0
Iris is the national flower of France.|0
篮球比赛每队上场5人。|0
How are you today?|0
你今天过得怎么样？|0
Gold melts at 1,064 degrees Celsius.|0
阿塔卡马沙漠非常干燥。|1
David Crane helped create 'Friends'.|0
物联网可以连接家里的设备。|1
What's your name?|0
你叫什么名字？|0
'Photosynthesis' means plants converting sunlight into energy.|0
英国的国花是玫瑰。|0
Climate change affects weather globally.|1
梵高画了《星夜》。|0
Can I help you with something?|0
我能帮你做点什么吗？|0
To grow orchids, keep them humid but not wet.|1
长城始建于秦朝。|0
Sodium's symbol is Na.|0
丝绸之路从长安开始。|1
Tell me a joke.|0
讲个笑话给我听吧。|0
Understanding photosynthesis helps in agriculture.|0
了解光合作用有助于农业发展。|0
Efforts to preserve deserts face many challenges.|1
保护沙漠环境面临许多挑战。|1
Peking Opera uses elaborate costumes.|1
京剧使用华丽的服饰。|1
IoT makes homes smarter.|1
物联网让家庭更智能。|1
The Great Wall started in Qin Dynasty.|0
金的熔点是1064摄氏度。|0
Discovering ancient mummies tells us about past cultures.|1
发现古代木乃伊让我们了解过去的文化。|1
Let's go for a walk.|0
我们去散步吧。|0
Do you like pizza?|0
你喜欢披萨吗？|0
Water is essential for life.|0
水对生命至关重要。|0
Look at the stars tonight.|0
今晚看看星星吧。|0
The Earth orbits the Sun.|0
地球绕着太阳转。|0
Plants need sunlight to grow.|0
植物需要阳光才能生长。|0
Enjoy your meal!|0
祝你用餐愉快！|0
Have a nice day!|0
祝你今天愉快！|0
It's raining outside.|0
外面正在下雨。|0
Turn off the lights before bed.|0
睡觉前关灯哦。|0
This book is very interesting.|0
这本书非常有趣。|0
Learning new things is fun.|0
学习新事物很有趣。|0
Don't forget to lock the door.|0
别忘了锁门。|0
See you tomorrow!|0
明天见！|0
It's time for lunch.|0
该吃午饭了。|0
Wish you good luck!|0
祝你好运！|0
Be careful on the road.|0
路上小心。|0
Remember to water the plants.|0
记得给植物浇水哦。|0
The cat is sleeping.|0
猫在睡觉。|0
Happy birthday!|0
生日快乐！|0
Call me if you need help.|0
有需要随时打电话给我。|0
Let's make some cookies.|0
我们来做些饼干吧。|0
That's amazing news!|0
那真是令人惊讶的消息！|0
Try to relax more.|0
试着多放松一下。|0
The sun is shining brightly.|0
阳光明媚。|0
Keep smiling every day.|0
每天保持微笑。|0
Take care of yourself.|0
照顾好自己。|0
Make sure to brush your teeth.|0
一定要刷牙哦。|0
Read a book before bed.|0
睡前读一本书吧。|0
Go for a run in the park.|0
去公园跑跑步吧。|0
Listen to some music.|0
听听音乐吧。|0
The flowers are blooming.|0
花开得很漂亮。|0
Start your day with a smile.|0
以微笑开启新的一天。|0
Eat more fruits and vegetables.|0
多吃水果和蔬菜。|0
Don't stay up too late.|0
不要熬夜太晚。|0
Get plenty of rest.|0
好好休息。|0
Practice makes perfect.|0
熟能生巧。|0
Learn from your mistakes.|0
从错误中学习。|0
Be kind to others.|0
善待他人。|0
Share your happiness with friends.|0
与朋友们分享你的快乐。|0
Dream big and work hard.|0
心怀大志，努力工作。|0
Never give up on your dreams.|0
永远不要放弃你的梦想。|0
Always believe in yourself.|0
永远相信自己。|0
Keep trying and you'll succeed.|0
不断尝试，你会成功的。|0
Believe in the power of hope.|0
相信希望的力量。|0
Stay positive and move forward.|0
保持积极，勇往直前。|0
Hope you have a great week ahead.|0
希望你有一周的好心情。|0
Let's explore new possibilities.|0
让我们探索新的可能性。|0
Always be ready for changes.|0
时刻准备好迎接变化。|0
Find joy in simple things.|0
在简单的事物中找到快乐。|0
Cherish every moment in life.|0
珍惜生活中的每一刻。|0
Make each day count.|0
让每一天都有意义。|0
Be grateful for what you have.|0
对你所拥有的心存感激。|0
Give more than you take.|0
给予多于索取。|0
Help others without expecting anything in return.|0
不求回报地帮助别人。|0
Spread love wherever you go.|0
无论走到哪里，传播爱。|0
Show kindness to everyone you meet.|0
对遇到的每个人都要友善。|0
Be the change you want to see in the world.|0
成为你想在这个世界看到的改变。|0
Live each day with intention.|0
带着目标生活每一天。|0
Choose happiness every day.|0
每天选择快乐。|0
Be proud of who you are.|0
为你自己感到骄傲。|0
Embrace the beauty of life.|0
拥抱生命的美好。|0
Love and respect yourself first.|0
首先爱自己，尊重自己。|0
Follow your heart and intuition.|0
跟随你的心和直觉。|0
Trust the journey of your life.|0
信任你的人生旅程。|0
Celebrate your unique qualities.|0
庆祝你独特的品质。|0
